FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER,AGE_SUM,TURNOUT_RATE,FOR_RATE
2878,5045,7923,0,2,18511,17369.0,27225,435.5,42.50516648,0.976854227,0.001368223,0.02177755,0.478821048,0.521178952,33,5816.0,0.33,13.7,2.9,5236,1671,5218,3300,3086,2,0.023145773,6386,10436,18511,0.4280157744044082,0.3632462451091758
1452,2141,3593,0,2,6830,14888.0,22890,1028.6,6.640093331,0.9276826239276826,0.00014639100014639098,0.07217098507217098,0.493046406,0.506953594,35,3346.0,0.48,18.5,4.2,1870,362,1640,1371,1587,2,0.072317376,2958,3280,6830,0.5260614934114202,0.40411912051210686
1056,1342,2398,0,2,4491,14501.0,22691,623.6,7.201731879,0.9908665620091334,0.00022276699977723298,0.008910670991089328,0.515927824,0.484072176,20,2718.0,0.6,13.6,4.0,1203,232,1102,1009,945,2,0.009133438,1954,2204,4491,0.5339568024938767,0.44036697247706424
504,1332,1836,0,2,5525,9887.0,19703,2302.8,2.399253083,0.3166183923166184,0.0018102820018102823,0.6815713256815713,0.48660391,0.51339609,35,1588.0,0.29,32.0,12.1,2317,451,1463,861,433,2,0.683381607,1294,2926,5525,0.3323076923076923,0.27450980392156865
1133,887,2020,1,2,3656,15325.0,24118,433.6,8.431734317,0.993435449,0.0,0.006564551,0.490973742,0.509026258,18,2406.0,0.64,13.9,2.4,1104,183,837,733,799,2,0.006564551,1532,1674,3656,0.5525164113785558,0.560891089108911
921,1269,2190,0,2,4300,17446.0,26763,1145.7,3.753164005,0.993488372,0.000232558,0.00627907,0.496744186,0.503255814,23,1744.0,0.4,11.9,1.9,1148,201,997,950,1004,2,0.006511628,1954,1994,4300,0.5093023255813953,0.42054794520547945
1015,2709,3724,0,2,6953,15642.0,24606,1739.9,3.996206679,0.914281605,0.002732633,0.082985762,0.519487991,0.480512009,29,1657.0,0.23,16.4,3.7,1690,307,1850,1655,1451,2,0.085718395,3106,3700,6953,0.5355961455486841,0.2725563909774436
557,857,1414,0,2,2693,16932.0,25124,1000.2,2.692461508,0.996286669,0.0,0.003713331,0.499814333,0.500185667,22,1100.0,0.4,11.1,1.8,725,131,629,650,558,2,0.003713331,1208,1258,2693,0.5250649832900112,0.3939179632248939
1544,2552,4096,0,2,8402,16249.0,29116,682.5,12.31062271,0.9909545340090455,0.000357057999642942,0.008688407991311592,0.497738634,0.502261366,24,3663.0,0.44,11.1,5.8,2499,458,2366,1534,1545,2,0.009045466,3079,4732,8402,0.4875029754820281,0.376953125
706,1782,2488,0,2,5251,14961.0,21472,1016.0,5.168307087,0.9398324440601674,0.000190403999809596,0.059977151940022844,0.485338919,0.514661081,29,2211.0,0.41,19.2,3.1,1514,219,1285,1028,1205,2,0.060167556,2233,2570,5251,0.4738145115216149,0.2837620578778135
470,820,1290,0,2,2563,17322.0,29160,1813.1,1.413601015,0.975409836,0.00156128,0.023028884,0.487119438,0.512880562,18,760.0,0.29,11.1,3.6,908,130,724,416,385,2,0.024590163999999998,801,1448,2563,0.5033164260632071,0.3643410852713178
1169,1498,2667,0,2,5022,14393.0,26557,511.2,9.823943662,0.992832968,0.000995421,0.006171611,0.49293251,0.50706749,22,2386.0,0.48,12.6,4.0,1465,283,1192,959,1123,2,0.007167031999999999,2082,2384,5022,0.5310633213859021,0.43832020997375326
1044,1490,2534,0,2,4259,15655.0,26454,1436.7,2.96443238,0.991785966,0.00070406,0.007509974,0.492842056,0.507157944,13,990.0,0.23,12.9,3.0,1191,210,1045,950,863,2,0.008214034,1813,2090,4259,0.5949753463254285,0.4119968429360695
558,850,1408,0,2,2935,12626.0,26225,434.7,6.751782839,0.996590522,0.0,0.003409478,0.503239004,0.496760996,13,868.0,0.29,11.2,2.3,920,177,740,616,482,2,0.003409478,1098,1480,2935,0.4797274275979557,0.3963068181818182
237,632,869,0,2,1601,13613.0,27614,2670.6,0.599490751,0.976889444,0.001249219,0.021861337,0.502810743,0.497189257,12,368.0,0.22,11.5,4.5,530,90,478,277,226,2,0.023110556,503,956,1601,0.542785758900687,0.2727272727272727
2418,5652,8070,0,2,15202,18589.0,33996,741.0,20.51551957,0.92077905,0.001250164,0.077970786,0.476444269,0.523555731,34,5827.0,0.39,10.7,2.6,4574,940,4969,2838,1881,2,0.07922095,4719,9938,15202,0.5308512037889751,0.29962825278810407
1858,2193,4051,0,2,8117,16411.0,24523,813.0,9.98400984,0.9942096839942096,0.000123198000123198,0.0056671180056671175,0.49377849,0.50622151,34,5198.0,0.63,12.8,2.6,2062,389,1858,1728,2080,2,0.005790315999999999,3808,3716,8117,0.4990760133054084,0.45865218464576646
369,557,926,0,2,1669,14868.0,25265,861.1,1.938218558,0.955062912,0.000599161,0.044337927,0.477531456,0.522468544,7,590.0,0.35,14.5,2.1,440,62,414,340,413,2,0.044937088,753,828,1669,0.554823247453565,0.398488120950324
409,733,1142,0,2,2835,10483.0,21587,1869.3,1.516610496,0.556770099,0.001057828,0.442172073,0.498589563,0.501410437,11,395.0,0.14,31.0,4.0,1054,210,725,514,332,2,0.443229901,846,1450,2835,0.40282186948853616,0.35814360770577935
645,805,1450,0,2,2400,18385.0,25198,530.3,4.525740147,0.994166667,0.0,0.005833333,0.49375,0.50625,11,1189.0,0.49,13.5,2.2,628,110,565,509,588,2,0.005833333,1097,1130,2400,0.6041666666666666,0.44482758620689655
294,469,763,0,2,1271,18602.0,28181,970.6,1.309499279,0.992918961,0.0,0.007081039,0.518489378,0.481510622,9,548.0,0.41,10.3,4.1,363,70,349,276,213,2,0.007081039,489,698,1271,0.6003147128245476,0.3853211009174312
1389,1673,3062,0,2,5876,17021.0,25570,838.4,7.008587786,0.995576727,0.0,0.004423273,0.485879551,0.514120449,30,3528.0,0.6,11.6,4.4,1557,268,1445,1205,1401,2,0.004423273,2606,2890,5876,0.5211027910142955,0.45362508164598303
